id	category	app	one_line	auth	self_serve	api_surface	mcp	verdict	blocker	evidence
1	CRM and Sales	Salesforce	Enterprise CRM with sales, service, marketing, and platform objects.	OAuth2, JWT bearer, username-password OAuth flow	Self-serve trial, production often admin-approved	Broad REST, Bulk, Streaming, Metadata, GraphQL-style UI APIs	Community MCPs	Buildable	Enterprise org setup and scopes are the main work	https://developer.salesforce.com/docs/apis
2	CRM and Sales	HubSpot	CRM and marketing platform for contacts, companies, deals, tickets, and automation.	OAuth2, private app token	Self-serve developer account	Broad REST across CRM, marketing, conversations, automation	Community MCPs	Buildable	Scope design and app review for public apps	https://developers.hubspot.com/docs/api/overview
3	CRM and Sales	Pipedrive	Sales CRM focused on pipelines, deals, activities, and contacts.	OAuth2, API token	Self-serve trial	Broad REST for CRM resources and webhooks	No clear official MCP	Buildable	OAuth app setup and rate limits	https://developers.pipedrive.com/docs/api/v1
4	CRM and Sales	Attio	Modern CRM for people, companies, lists, records, and workflows.	OAuth2, API key	Self-serve workspace	Broad REST for objects, records, lists, comments, webhooks	Community MCPs	Buildable	Young API means coverage validation matters	https://docs.attio.com/rest-api/overview
5	CRM and Sales	Twenty	Open-source CRM with companies, people, opportunities, and tasks.	API key, bearer token	Self-serve/open-source	REST and GraphQL surface	Community MCPs	Buildable	Hosted versus self-hosted auth differences	https://twenty.com/developers
6	CRM and Sales	Podio	Collaboration CRM/work management app from Citrix.	OAuth2, app auth, API key/secret	Self-serve but legacy docs	Broad REST for orgs, apps, items, tasks	No clear MCP	Buildable	Legacy API patterns and app tokens	https://developers.podio.com/
7	CRM and Sales	Zoho CRM	CRM suite for leads, accounts, contacts, deals, and automation.	OAuth2	Self-serve developer console	Broad REST plus bulk, COQL, notifications	Community MCPs	Buildable	Regional domains and scope complexity	https://www.zoho.com/crm/developer/docs/api/v6/
8	CRM and Sales	Close	Inside-sales CRM for leads, contacts, calls, emails, and tasks.	API key	Self-serve trial	Broad REST for CRM, activities, calling, webhooks	No clear MCP	Buildable	Simple auth, broad API	https://developer.close.com/
9	CRM and Sales	Copper	Google Workspace-native CRM for leads, people, opportunities, and activities.	API key with user email header	Trial/admin likely required	Moderate REST API	No clear MCP	Buildable	Admin/account access and API limits	https://developer.copper.com/
10	CRM and Sales	DealCloud	Deal management CRM for investment and professional services teams.	OAuth2/client credentials, API keys	Gated/paid enterprise	Broad REST/OData-style enterprise API	No clear MCP	Buildable with customer	Requires customer tenant and paid access	https://api.docs.dealcloud.com/
11	Support and Helpdesk	Zendesk	Customer support suite for tickets, users, help center, chat, and voice.	OAuth2, API token, basic auth with token	Self-serve trial	Broad REST APIs and webhooks	Community MCPs	Buildable	Subdomain and admin-token setup	https://developer.zendesk.com/api-reference/
12	Support and Helpdesk	Intercom	Customer messaging, support inbox, articles, contacts, and conversations.	OAuth2, access token	Self-serve developer workspace	Broad REST API and webhooks	Community MCPs	Buildable	Public app review for marketplace distribution	https://developers.intercom.com/docs/references/rest-api/api.intercom.io
13	Support and Helpdesk	Freshdesk	Helpdesk for tickets, contacts, companies, agents, and solutions.	API key, OAuth2 for apps	Self-serve trial	Broad REST API	No clear official MCP	Buildable	Per-account domain and plan limits	https://developers.freshdesk.com/api/
14	Support and Helpdesk	Front	Shared inbox and customer operations platform.	OAuth2, API token	Self-serve developer account	Broad REST API for inboxes, messages, contacts, rules	No clear MCP	Buildable	OAuth app permissions and inbox semantics	https://dev.frontapp.com/reference/introduction
15	Support and Helpdesk	Pylon	B2B customer support platform for Slack/Teams, tickets, and accounts.	API key/bearer token	Trial/contact-sales leaning	Public REST API appears documented but narrower	No clear MCP	Buildable	Access may require workspace approval	https://docs.usepylon.com/
16	Support and Helpdesk	LiveAgent	Helpdesk with tickets, chats, calls, and knowledge base.	API key	Self-serve trial	REST API for tickets, contacts, agents, departments	No clear MCP	Buildable	Older docs and account-specific endpoint	https://support.liveagent.com/306237-API
17	Support and Helpdesk	Plain	B2B support platform with customers, issues, threads, and events.	API key	Self-serve developer docs	GraphQL API and webhooks	Community MCPs	Buildable	GraphQL schema mapping	https://www.plain.com/docs/api-reference/graphql
18	Support and Helpdesk	Help Scout	Helpdesk for mailboxes, conversations, customers, docs, and reports.	OAuth2, app credentials	Self-serve developer app	Broad REST APIs plus webhooks	No clear MCP	Buildable	OAuth token lifecycle	https://developer.helpscout.com/
19	Support and Helpdesk	Gorgias	Ecommerce helpdesk for tickets, customers, orders, and macros.	Basic/API key, OAuth2 for apps	Trial/admin likely required	REST API and webhooks	No clear MCP	Buildable	Merchant account and app access	https://developers.gorgias.com/reference/introduction
20	Support and Helpdesk	Gladly	Customer service platform for conversations, customers, tasks, and knowledge.	OAuth2/client credentials, API token	Gated/enterprise	Broad REST API but customer access needed	No clear MCP	Buildable with customer	Enterprise tenant and credentials required	https://developer.gladly.com/rest/
21	Communications and Messaging	Slack	Team messaging platform with channels, messages, users, files, and workflows.	OAuth2, bot/user tokens	Self-serve app creation	Broad Web API, Events API, Socket Mode, SCIM	Official/partner MCPs and many community MCPs	Buildable	Workspace install and granular scopes	https://api.slack.com/apis
22	Communications and Messaging	Twilio	Communications APIs for SMS, voice, WhatsApp, email, verify, and more.	Basic auth with account SID/auth token, API keys	Self-serve trial	Broad REST APIs and webhooks	Community MCPs	Buildable	Credential safety and product-specific compliance	https://www.twilio.com/docs/usage/api
23	Communications and Messaging	Zoho Cliq	Team chat and collaboration inside Zoho.	OAuth2	Self-serve developer console	REST API, bots, extensions, webhooks	No clear MCP	Buildable	Zoho regional OAuth and extension model	https://www.zoho.com/cliq/help/restapi/v2/
24	Communications and Messaging	Lark (Larksuite)	Collaboration suite for chat, docs, calendar, approval, and workplace apps.	OAuth2, app access token	Self-serve developer console	Broad Open Platform APIs	Community MCPs	Buildable	Region, tenant, and app review complexity	https://open.larksuite.com/document/
25	Communications and Messaging	Pumble	Team messaging app for channels, DMs, and collaboration.	Token/API key	Unclear; API access appears limited	Public API is limited or not prominent	No clear MCP	Maybe	Docs and developer credential path are thin	https://pumble.com/help/
26	Communications and Messaging	Discord	Community messaging and voice platform.	OAuth2, bot token	Self-serve developer portal	Broad REST/gateway API	Community MCPs	Buildable	Bot permissions and gateway/event handling	https://discord.com/developers/docs/intro
27	Communications and Messaging	Telegram	Messaging platform with Bot API and lower-level client APIs.	Bot token, MTProto auth	Self-serve via BotFather	Broad Bot API, MTProto, payments, web apps	Community MCPs	Buildable	Bot API constraints versus full client access	https://core.telegram.org/bots/api
28	Communications and Messaging	WhatsApp Business	Business messaging through Meta Cloud API.	OAuth2, system user tokens	Self-serve possible, production business verification needed	Broad Cloud API for messages, templates, media, webhooks	Community MCPs	Buildable with setup	Business verification and template approval	https://developers.facebook.com/docs/whatsapp/cloud-api
29	Communications and Messaging	Aircall	Cloud phone and call-center platform.	API ID/API token, OAuth2 for apps	Self-serve trial/developer app	REST API and webhooks for calls, contacts, users	No clear MCP	Buildable	Account and telephony compliance	https://developer.aircall.io/api-references/
30	Communications and Messaging	Vonage	Communications APIs for SMS, voice, video, verification, and numbers.	API key/secret, JWT, bearer token	Self-serve trial	Broad REST APIs and SDKs	Community MCPs	Buildable	Product-specific auth variants	https://developer.vonage.com/en/api
31	Marketing, Ads, Email and Social	Google Ads	Google advertising platform for campaigns, assets, bidding, and reporting.	OAuth2 plus developer token	Self-serve but developer token approval required	Broad gRPC/REST API	Official Google Ads MCP server	Buildable with approval	Developer token review and account permissions	https://developers.google.com/google-ads/api/docs/start
32	Marketing, Ads, Email and Social	Meta Ads	Meta Marketing API for campaigns, ad sets, ads, audiences, and insights.	OAuth2 access tokens	Self-serve dev app, production permissions reviewed	Broad Graph API	Community MCPs	Buildable with review	App review and business verification for many scopes	https://developers.facebook.com/docs/marketing-apis/
33	Marketing, Ads, Email and Social	LinkedIn Ads	LinkedIn Marketing API for campaigns, creatives, audiences, and reporting.	OAuth2	Gated/partner for many marketing APIs	Broad REST API but access restricted	No clear MCP	Maybe	Marketing Developer Platform approval	https://learn.microsoft.com/en-us/linkedin/marketing/
34	Marketing, Ads, Email and Social	GoHighLevel	Agency CRM/marketing automation platform.	OAuth2, private integration tokens	Self-serve for agency account	Broad REST APIs via HighLevel	Community MCPs	Buildable	Account type and location/company model	https://highlevel.stoplight.io/docs/integrations/
35	Marketing, Ads, Email and Social	Mailchimp	Email marketing and automation platform for audiences, campaigns, and reports.	OAuth2, API key	Self-serve free/trial	Broad REST API	Community MCPs	Buildable	Datacenter-specific API base URL	https://mailchimp.com/developer/marketing/api/
36	Marketing, Ads, Email and Social	Klaviyo	Marketing automation platform for profiles, events, campaigns, lists, and metrics.	API key/private key, OAuth2	Self-serve free account	Broad REST API	Community MCPs	Buildable	Revisioned API versions and scopes	https://developers.klaviyo.com/en/reference/api_overview
37	Marketing, Ads, Email and Social	systeme.io	Funnel, email, course, and affiliate marketing platform.	API key	Self-serve account	Public API exists but narrower	No clear MCP	Buildable	Smaller API surface and docs depth	https://developer.systeme.io/reference
38	Marketing, Ads, Email and Social	Pinterest	Social discovery and ads platform.	OAuth2	Self-serve app, some access reviewed	REST API for pins, boards, ads, analytics	No clear MCP	Buildable with review	App review for production/ads scopes	https://developers.pinterest.com/docs/api/v5/
39	Marketing, Ads, Email and Social	Threads (Meta)	Meta's text social network with publishing and insights APIs.	OAuth2	Self-serve dev app, production review required	REST/Graph-style API for publishing, replies, insights	No clear MCP	Buildable with review	App review and limited API maturity	https://developers.facebook.com/docs/threads/
40	Marketing, Ads, Email and Social	SendGrid	Email delivery and marketing email APIs.	API key	Self-serve free/trial	Broad REST API for mail, templates, stats, contacts	Community MCPs	Buildable	Sender authentication and compliance	https://www.twilio.com/docs/sendgrid/api-reference
41	Ecommerce	Shopify	Commerce platform for stores, products, orders, customers, and fulfillment.	OAuth2, access token, custom app tokens	Self-serve partner/dev store	Broad Admin GraphQL/REST, Storefront API, webhooks	Official/community MCPs	Buildable	Store install and protected customer data scopes	https://shopify.dev/docs/api
42	Ecommerce	WooCommerce	WordPress ecommerce plugin for products, orders, customers, and coupons.	Consumer key/secret, OAuth1, application passwords	Self-serve/open-source	Broad REST API	Community MCPs	Buildable	WordPress hosting and plugin version differences	https://woocommerce.github.io/woocommerce-rest-api-docs/
43	Ecommerce	BigCommerce	SaaS ecommerce for catalogs, carts, orders, customers, and channels.	OAuth2, access tokens	Self-serve trial/developer	Broad REST and GraphQL APIs	Community MCPs	Buildable	Store install and channel/product complexity	https://developer.bigcommerce.com/docs/rest-management
44	Ecommerce	Salesforce Commerce Cloud	Enterprise ecommerce platform for B2C/B2B storefronts and orders.	OAuth2, SLAS tokens, client credentials	Gated/paid enterprise	Broad Commerce APIs	No clear MCP	Buildable with customer	Requires SFCC tenant and enterprise credentials	https://developer.salesforce.com/docs/commerce
45	Ecommerce	Magento (Adobe Commerce)	Open-source/Adobe ecommerce for products, orders, customers, carts, and stores.	OAuth1, bearer/integration token, admin token	Self-serve open-source; Adobe Commerce paid	Broad REST and GraphQL APIs	Community MCPs	Buildable	Instance setup and security posture	https://developer.adobe.com/commerce/webapi/rest/
46	Ecommerce	Squarespace	Website and commerce platform for products, orders, inventory, and profiles.	OAuth2, API key/token	Self-serve developer account	Moderate Commerce APIs	No clear MCP	Buildable	API coverage narrower than full product	https://developers.squarespace.com/commerce-apis
47	Ecommerce	Ecwid	Ecommerce platform for storefronts, catalogs, orders, and customers.	OAuth2, access token	Self-serve developer app	Broad REST API	No clear MCP	Buildable	App install and store token management	https://api-docs.ecwid.com/reference/rest-api
48	Ecommerce	Gumroad	Creator commerce platform for products, sales, subscribers, and payouts.	OAuth2, access token	Self-serve creator/developer	Moderate REST API	Community MCPs	Buildable	API surface is simpler and commerce-specific	https://gumroad.com/api
49	Ecommerce	Amazon Selling Partner	Amazon marketplace seller APIs for orders, listings, feeds, reports, and finances.	Login with Amazon OAuth2, AWS SigV4, restricted data tokens	Developer registration and app review required	Broad REST API	Community MCPs	Buildable with approval	Amazon developer profile, app approval, restricted data rules	https://developer-docs.amazon.com/sp-api/
50	Ecommerce	fanbasis	Creator monetization marketplace/platform.	Unknown/public API not obvious	Gated/no obvious public developer path	No clearly documented public API	No clear MCP	Not today	No public API docs found in brief research	https://www.fanbasis.com/
51	Data, SEO and Scraping	DataForSEO	SEO and SERP data APIs for search, keywords, backlinks, and business data.	Basic auth login/password	Self-serve account	Broad REST APIs	No clear MCP	Buildable	Cost/credits and task polling patterns	https://docs.dataforseo.com/
52	Data, SEO and Scraping	SE Ranking	SEO platform with rankings, audit, backlink, and keyword data.	API key/token	Paid plan/API package likely	REST API with SEO resources	No clear MCP	Buildable with paid access	Plan gating and credits	https://seranking.com/api.html
53	Data, SEO and Scraping	Ahrefs	SEO platform for backlinks, keywords, rank tracking, and site audit.	API token	Paid/gated API access	Broad REST API in Enterprise/API plans	Community MCPs	Buildable with paid access	API access requires eligible paid plan	https://ahrefs.com/api
54	Data, SEO and Scraping	MrScraper	Web scraping API/platform.	API key	Self-serve trial/API key	REST scraping API	No clear MCP	Buildable	Operational reliability and anti-bot limits	https://docs.mrscraper.com/
55	Data, SEO and Scraping	Apify	Cloud actors platform for scraping, automation, and data extraction.	API token	Self-serve free/trial	Broad REST API, actors, datasets, webhooks	Official/community MCPs	Buildable	Actor-specific schemas	https://docs.apify.com/api/v2
56	Data, SEO and Scraping	Firecrawl	Web crawling and extraction API for LLM-ready content.	API key	Self-serve free/trial	REST API plus SDKs	Official MCP	Buildable	Credits and crawl job polling	https://docs.firecrawl.dev/
57	Data, SEO and Scraping	Bright Data	Proxy, scraping browser, datasets, and SERP APIs.	API token/key	Self-serve trial, paid usage	Broad REST APIs	Community MCPs	Buildable	Compliance and account approval for some products	https://docs.brightdata.com/
58	Data, SEO and Scraping	Sherlock	Open-source username search across social networks.	No hosted auth; CLI tool	Self-serve/open-source	CLI, Python package, no SaaS API	Community wrappers possible	Buildable as local skill	No official hosted API; package a CLI skill	https://github.com/sherlock-project/sherlock
59	Data, SEO and Scraping	Waterfall.io	Contact and company intelligence/enrichment platform.	API key	Gated/contact-sales leaning	API exists but public docs are limited	No clear MCP	Maybe	Docs/credential path appear sales-led	https://waterfall.io/
60	Data, SEO and Scraping	Clay	Prospecting and enrichment platform for workflows and tables.	API key/webhook style	Paid/admin likely	Limited public API/webhooks compared with app	Community MCPs	Maybe	Public API surface and plan gating	https://docs.clay.com/
61	Developer, Infra and Data platforms	GitHub	Code hosting and collaboration platform for repos, issues, PRs, Actions, and orgs.	OAuth2, GitHub App tokens, fine-grained PAT	Self-serve	Broad REST and GraphQL APIs	Official GitHub MCP	Buildable	Mix of user tokens, app installs, and org policies	https://docs.github.com/en/rest
62	Developer, Infra and Data platforms	Vercel	Frontend cloud platform for deployments, projects, domains, and teams.	Bearer token, OAuth2	Self-serve	Broad REST API	Official/community MCPs	Buildable	Team scoping and rate limits	https://vercel.com/docs/rest-api
63	Developer, Infra and Data platforms	Netlify	Web deployment platform for sites, builds, forms, and functions.	OAuth2, personal access token	Self-serve	Broad REST API	Community MCPs	Buildable	OAuth app versus personal token split	https://docs.netlify.com/api/get-started/
64	Developer, Infra and Data platforms	Cloudflare	Internet infrastructure platform for DNS, workers, security, storage, and analytics.	API token, API key/email, OAuth2	Self-serve	Broad REST/GraphQL APIs	Official Cloudflare MCP	Buildable	Huge product surface requires slicing	https://developers.cloudflare.com/api/
65	Developer, Infra and Data platforms	Supabase	Open-source backend platform with Postgres, auth, storage, edge functions, and APIs.	API keys, JWT, Postgres credentials	Self-serve free tier	Generated REST/GraphQL plus management APIs	Official/community MCPs	Buildable	Project keys and SQL safety boundaries	https://supabase.com/docs
66	Developer, Infra and Data platforms	Neo4j	Graph database platform and Aura cloud service.	Basic auth, bearer tokens, API credentials	Self-serve free tier	HTTP transactional API, Aura APIs, drivers	Official/community MCPs	Buildable	Database-specific query safety	https://neo4j.com/docs/http-api/current/
67	Developer, Infra and Data platforms	Snowflake	Cloud data warehouse and data platform.	Key-pair JWT, OAuth2, password/session tokens	Paid/trial with account admin	Broad SQL API and management APIs	Community MCPs	Buildable with account	Warehouse/account setup and data governance	https://docs.snowflake.com/en/developer-guide/sql-api/index
68	Developer, Infra and Data platforms	MongoDB Atlas	Managed MongoDB cloud platform for clusters, projects, users, backups, and data APIs.	Public/private API key, OAuth2 for some flows	Self-serve free tier	Broad Admin API and Data API	Official/community MCPs	Buildable	Project/org permissions and IP access lists	https://www.mongodb.com/docs/api/doc/atlas-admin-api-v2/
69	Developer, Infra and Data platforms	Datadog	Observability platform for metrics, logs, traces, monitors, incidents, and dashboards.	API key + application key	Self-serve trial	Broad REST APIs	Official/community MCPs	Buildable	Site region and product breadth	https://docs.datadoghq.com/api/latest/
70	Developer, Infra and Data platforms	Sentry	Error tracking and performance monitoring for projects, issues, releases, and orgs.	Auth token, OAuth2	Self-serve	Broad REST API	Official/community MCPs	Buildable	Org/project scoping and token permissions	https://docs.sentry.io/api/
71	Productivity and Project Management	Notion	Workspace docs/database platform for pages, blocks, databases, and users.	OAuth2, internal integration token	Self-serve	Broad REST API	Official/community MCPs	Buildable	Workspace sharing and database schema variance	https://developers.notion.com/
72	Productivity and Project Management	Airtable	Spreadsheet-database platform for bases, tables, records, automations, and interfaces.	OAuth2, personal access token	Self-serve free tier	Broad REST API, Metadata API, webhooks	Community MCPs	Buildable	Base schema discovery and rate limits	https://airtable.com/developers/web/api/introduction
73	Productivity and Project Management	Linear	Issue tracking and product planning platform.	OAuth2, API key	Self-serve	Broad GraphQL API and webhooks	Official/community MCPs	Buildable	GraphQL schema and team/project mapping	https://developers.linear.app/docs/graphql/working-with-the-graphql-api
74	Productivity and Project Management	Jira	Atlassian project and issue tracking platform.	OAuth2, API token/basic, Forge app auth	Self-serve cloud site	Broad REST APIs and webhooks	Official/community MCPs	Buildable	Cloud/DC differences and scopes	https://developer.atlassian.com/cloud/jira/platform/rest/v3/
75	Productivity and Project Management	Asana	Work management platform for tasks, projects, teams, portfolios, and goals.	OAuth2, personal access token	Self-serve	Broad REST API and webhooks	Community MCPs	Buildable	Workspace permissions and project custom fields	https://developers.asana.com/docs
76	Productivity and Project Management	Monday.com	Work management platform for boards, items, automations, and dashboards.	API token, OAuth2	Self-serve trial	Broad GraphQL API	Community MCPs	Buildable	GraphQL complexity and board schema variance	https://developer.monday.com/api-reference/docs
77	Productivity and Project Management	ClickUp	Productivity and project management for tasks, docs, goals, and spaces.	OAuth2, API token	Self-serve free/trial	Broad REST API and webhooks	Community MCPs	Buildable	Workspace hierarchy and rate limits	https://clickup.com/api
78	Productivity and Project Management	Coda	Document/app platform with docs, tables, formulas, and automations.	API token, OAuth2	Self-serve	Broad REST API	Community MCPs	Buildable	Doc/table schema discovery	https://coda.io/developers/apis/v1
79	Productivity and Project Management	Smartsheet	Enterprise work management and spreadsheet-like project platform.	OAuth2, access token	Self-serve trial, enterprise admin may gate	Broad REST API and webhooks	Community MCPs	Buildable	Admin controls and sheet-specific schemas	https://smartsheet.redoc.ly/
80	Productivity and Project Management	Harvest	Time tracking and invoicing platform.	OAuth2, personal access token	Self-serve trial	Broad REST API	No clear MCP	Buildable	Account ID header and OAuth flow	https://help.getharvest.com/api-v2/
81	Finance and Fintech	Stripe	Payments and financial infrastructure for customers, charges, invoices, subscriptions, and more.	API key, restricted key, OAuth2 for Connect	Self-serve test/live account	Broad REST API and webhooks	Official Stripe MCP	Buildable	Live-mode compliance and restricted keys	https://stripe.com/docs/api
82	Finance and Fintech	Plaid	Financial data network for bank accounts, transactions, identity, and payments.	client_id/secret, link tokens, OAuth with institutions	Self-serve sandbox, production approval	Broad REST API	Community MCPs	Buildable with approval	Production access and product approval	https://plaid.com/docs/api/
83	Finance and Fintech	Binance	Crypto exchange APIs for trading, market data, account, and wallet operations.	API key/secret HMAC	Self-serve account	Broad REST/WebSocket APIs	Community MCPs	Buildable	Safety boundaries for trading and regional restrictions	https://developers.binance.com/docs
84	Finance and Fintech	Paygent Connect	Payments gateway/merchant services platform associated with NMI-powered processing.	API key/token likely	Gated/merchant onboarding	Docs not clearly public	No clear MCP	Maybe	Public docs and credentials require merchant/provider access	https://paygent.com/
85	Finance and Fintech	iPayX	AI/payment-related fintech platform.	API key/token likely	Unclear	Public docs appear limited	No clear MCP	Maybe	Docs maturity and public credential path	https://ipayx.ai/docs
86	Finance and Fintech	QuickBooks	Intuit accounting platform for companies, invoices, bills, customers, and reports.	OAuth2	Self-serve sandbox, production app review	Broad REST APIs	Community MCPs	Buildable with review	App review and accounting data permissions	https://developer.intuit.com/app/developer/qbo/docs/api/accounting/all-entities/account
87	Finance and Fintech	Xero	Accounting platform for invoices, contacts, bank transactions, payroll, and reports.	OAuth2	Self-serve developer app	Broad REST APIs	Community MCPs	Buildable	Org connection and accounting permissions	https://developer.xero.com/documentation/api/accounting/overview
88	Finance and Fintech	Brex	Corporate card, spend management, expenses, and business banking platform.	OAuth2, bearer token	Gated/customer/admin approval	Broad REST API	No clear MCP	Buildable with customer	Business account and admin consent	https://developer.brex.com/openapi/
89	Finance and Fintech	Ramp	Corporate cards, bill pay, expenses, and finance automation.	OAuth2, client credentials	Gated/customer/admin approval	Broad REST API	Community MCPs	Buildable with customer	Customer admin approval and finance controls	https://docs.ramp.com/
90	Finance and Fintech	PitchBook	Private market research and financial data platform.	Token/API credentials	Gated/enterprise	Broad data/API products but access restricted	No clear MCP	Buildable with partnership	Enterprise contract and data licensing	https://pitchbook.com/data/
91	AI, Research and Media-native	NotebookLM	Google AI research/notebook product; enterprise functionality tied to Gemini/Workspace.	Google OAuth/IAM via related Google APIs	Gated/enterprise; no broad public NotebookLM API	No clear standalone public NotebookLM API	No clear MCP	Not today	No public self-serve API for consumer NotebookLM workflows	https://cloud.google.com/gemini
92	AI, Research and Media-native	Otter AI	Meeting transcription and notes platform.	OAuth/API access limited; MCP listed by vendor/help	Gated/plan-dependent	Public API appears limited; MCP/server path noted	Existing MCP mentioned	Maybe	Public API details and plan gating	https://help.otter.ai/
93	AI, Research and Media-native	Fathom	Meeting recording, transcription, and summaries.	API key/OAuth likely	Gated/limited public docs	Public API not prominent	No clear MCP	Maybe	Developer docs and credential path are not obvious	https://fathom.video/
94	AI, Research and Media-native	Consensus	AI literature search and research answers.	OAuth requested/API unclear	Gated/partner likely	No clear public API docs	No clear MCP	Not today	Public API and OAuth developer path not evident	https://consensus.app/
95	AI, Research and Media-native	Reducto	Document parsing and extraction API for PDFs and unstructured files.	API key	Self-serve/contact for key depending plan	REST API for parsing, extraction, splitting	Community MCPs	Buildable	Cost and document privacy controls	https://docs.reducto.ai/
96	AI, Research and Media-native	Devin	AI software engineering agent.	API key/token; MCP documented	Self-serve/plan-dependent	REST API and MCP for tasks/sessions	Official MCP	Buildable	Plan/API access and permissions	https://docs.devin.ai/
97	AI, Research and Media-native	higgsfield	AI video/content creation suite with CLI hints.	CLI auth/token likely	Gated/unclear	No clear broad public API	No clear MCP	Maybe	CLI/API docs and account access unclear	https://higgsfield.ai/cli
98	AI, Research and Media-native	Mermaid CLI	Command-line renderer for Mermaid diagrams.	No remote auth	Self-serve/open-source	CLI package rather than hosted API	Community MCPs	Buildable as local skill	Package CLI with sandboxed file IO	https://github.com/mermaid-js/mermaid-cli
99	AI, Research and Media-native	YouTube Transcript	Transcript API service for fetching YouTube transcripts.	API key	Self-serve paid/free trial likely	Focused REST API	Community wrappers possible	Buildable	Third-party dependency and quota/cost	https://www.transcriptapi.com/
100	AI, Research and Media-native	Grain	Meeting recording, clips, transcripts, and notes.	OAuth/API token likely	Gated/plan-dependent	Public API limited/not prominent	No clear MCP	Maybe	Developer docs and credential path are thin	https://grain.com/
